Län,År,Population
Västmanlands län,1999,256901
Dalarnas län,1999,280575
Gävleborgs län,1999,280717
Västernorrlands län,1999,249299
Jämtlands län,1999,130705
Västerbottens län,1999,256710
Norrbottens län,1999,258094
Stockholms län,2000,1823210
Uppsala län,2000,294196
Södermanlands län,2000,256033
Östergötlands län,2000,411345
Jönköpings län,2000,327829
Kronobergs län,2000,176639
Kalmar län,2000,235391
Gotlands län,2000,57313
Blekinge län,2000,150392
Skåne län,2000,1129424
Hallands län,2000,275004
Västra Götalands län,2000,1494641
Värmlands län,2000,275003
Örebro län,2000,273615
Västmanlands län,2000,256889
Dalarnas län,2000,278259
Gävleborgs län,2000,279262
Västernorrlands län,2000,246903
Jämtlands län,2000,129566
Västerbottens län,2000,255640
Norrbottens län,2000,256238
Stockholms län,2001,1838882
Uppsala län,2001,296627
Södermanlands län,2001,257220
Östergötlands län,2001,412363
Jönköpings län,2001,327824
Kronobergs län,2001,176582
Kalmar län,2001,234697
Gotlands län,2001,57412
Blekinge län,2001,150017
Skåne län,2001,1136571
Hallands län,2001,276653
Västra Götalands län,2001,1500857
Värmlands län,2001,273933
Örebro län,2001,273137
Västmanlands län,2001,257957
Dalarnas län,2001,277010
Gävleborgs län,2001,278171
Västernorrlands län,2001,245078
Jämtlands län,2001,128586
Västerbottens län,2001,254818
Norrbottens län,2001,254733
Stockholms län,2002,1850467
Uppsala län,2002,298655
Södermanlands län,2002,259006
Östergötlands län,2002,413438
Jönköpings län,2002,327971
Kronobergs län,2002,176978
Kalmar län,2002,234627
Gotlands län,2002,57381
Blekinge län,2002,149875
Skåne län,2002,1145090
Hallands län,2002,278551
Västra Götalands län,2002,1508230
Värmlands län,2002,273419
Örebro län,2002,273412
Västmanlands län,2002,258912
Dalarnas län,2002,276636
Gävleborgs län,2002,277012
Västernorrlands län,2002,244319
Jämtlands län,2002,127947
Västerbottens län,2002,255230
Norrbottens län,2002,253632
Stockholms län,2003,1860872
Uppsala län,2003,300495
Södermanlands län,2003,260380
Östergötlands län,2003,414897
Jönköpings län,2003,328659
Kronobergs län,2003,177448
Kalmar län,2003,234886
Gotlands län,2003,57535
Blekinge län,2003,149889
Skåne län,2003,1152697
Hallands län,2003,281322
Västra Götalands län,2003,1514992
Värmlands län,2003,273563
Örebro län,2003,273935
Västmanlands län,2003,260134
Dalarnas län,2003,276520
Gävleborgs län,2003,276866
Västernorrlands län,2003,244105
Jämtlands län,2003,127645
Västerbottens län,2003,255956
Norrbottens län,2003,252874
Stockholms län,2004,1872900
Uppsala län,2004,302564
Södermanlands län,2004,261070
Östergötlands län,2004,415990
Jönköpings län,2004,329297
Kronobergs län,2004,178285
Kalmar län,2004,234496
Gotlands län,2004,57661
Blekinge län,2004,150335
Skåne län,2004,1160919
Hallands län,2004,283788
Västra Götalands län,2004,1521895
Värmlands län,2004,273547
Örebro län,2004,273920
Västmanlands län,2004,261005
Dalarnas län,2004,276042
Gävleborgs län,2004,276599
Västernorrlands län,2004,244195
Jämtlands län,2004,127424
Västerbottens län,2004,256875
Norrbottens län,2004,252585
Stockholms län,2005,1889945
Uppsala län,2005,304367
Södermanlands län,2005,261895
Östergötlands län,2005,416303
Jönköpings län,2005,330179
Kronobergs län,2005,178443
Kalmar län,2005,233944
Gotlands län,2005,57488
Blekinge län,2005,150696
Skåne län,2005,1169464
Hallands län,2005,285868
Västra Götalands län,2005,1528455
Värmlands län,2005,273288
Örebro län,2005,274121
Västmanlands län,2005,261391
Dalarnas län,2005,275755
Gävleborgs län,2005,275994
Västernorrlands län,2005,243736
Jämtlands län,2005,127028
Västerbottens län,2005,257652
Norrbottens län,2005,251740
Stockholms län,2006,1918104
Uppsala län,2006,319925
Södermanlands län,2006,263099
Östergötlands län,2006,417966
Jönköpings län,2006,331539
Kronobergs län,2006,179635
Kalmar län,2006,233776
Gotlands län,2006,57297
Blekinge län,2006,151436
Skåne län,2006,1184500
Hallands län,2006,288859
Västra Götalands län,2006,1538284
Värmlands län,2006,273489
Örebro län,2006,275030
Västmanlands län,2006,248489
Dalarnas län,2006,275711
Gävleborgs län,2006,275653
Västernorrlands län,2006,243978
Jämtlands län,2006,127020
Västerbottens län,2006,257581
